Activity Type,Date,Title,Time,Moving Time,Elapsed Time,Distance,Calories,Avg HR,Max HR,Avg Speed,Max Speed,Total Ascent,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Max Avg Power (20 min),Avg Power,Max Power,Number of Laps,Min Elevation,Max Elevation
Virtual Cycling,3/15/22 17:27,Zwift - Watopia,1:03:38,1:03:32,1:03:36,26.16,591,137,166,24.7,39.2,440.00,81,104,166,173,161,390,1,-21,92.00
Virtual Cycling,3/15/22 17:11,Zwift - Watopia,0:15:05,0:15:03,0:15:04,3.78,53,137,166,15.1,20.2,39.00,90,103,61,80,61,331,1,42,58.00
Virtual Cycling,3/13/22 12:15,Zwift - Richmond,1:02:55,1:02:53,1:02:54,18.77,411,137,166,17.9,41,1155.00,86,108,172,138,114,397,1,14,180.00
Virtual Cycling,3/12/22 16:08,Zwift - Watopia,0:31:26,0:31:24,0:31:25,9.42,163,137,166,18,23.2,85.00,85,100,95,101,90,261,1,41,58.00
Virtual Cycling,3/11/22 16:38,Zwift - 3x10 High Tempo in Watopia,1:10:03,1:08:58,1:10:02,23.7,560,137,166,20.3,27.3,190.00,85,105,166,176,140,265,10,41,58.00
Virtual Cycling,3/10/22 17:56,Zwift - Watopia,0:46:13,0:46:08,0:46:11,19.34,395,137,166,25.1,29.4,148.00,82,99,155,157,149,350,1,41,58.00
Virtual Cycling,3/10/22 17:38,Zwift - Watopia,0:16:43,0:16:35,0:16:42,4.43,65,137,166,15.9,23.1,39.00,84,100,75,80,69,266,1,42,58.00
Virtual Cycling,3/8/22 14:28,Zwift - Endurance 1HR in Watopia,1:02:10,1:02:07,1:02:10,23.66,551,137,166,22.8,27.7,190.00,83,106,158,165,154,169,15,41,58.00
Virtual Cycling,3/7/22 20:58,Zwift - Richmond,1:01:18,1:01:17,1:01:17,18.77,440,137,166,18.4,42.2,1155.00,82,100,173,157,125,370,1,14,180.00
Virtual Cycling,3/3/22 16:48,Zwift - Mountain 8 in Watopia,1:13:34,1:13:16,1:13:33,20.55,678,137,166,16.8,51.3,2267.00,84,116,180,191,161,372,1,-21,1694.00
Virtual Cycling,3/1/22 17:30,Zwift - Grand Central Circuit in New York,0:50:21,0:50:16,0:50:20,13.76,417,137,166,16.4,46.4,1486.00,82,100,170,177,144,315,1,66,436.00
