Distance,Calories,Avg HR,Max HR,Aerobic TE,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Bike Cadence,Max Bike Cadence,Normalized Power,Training Stress Score,Max Avg Power (20 min),Avg Power,Max Power,Total Strokes,Min Temp,Max Temp,Avg Resp,Min Resp,Max Resp,Min Elevation,Max Elevation
16.43,733.00,150.00,176.00,4.00,14.70,25.60,430.00,371.00,85.00,100.00,138.00,118.00,133.00,111.00,445.00,306000.00,69.80,68.00,28.00,17.00,38.00,-1.00,138.00
28.32,1075.00,151.00,182.00,5.00,16.00,29.70,577.00,640.00,95.00,100.00,138.00,118.00,133.00,111.00,445.00,8185.00,57.20,68.00,28.00,17.00,38.00,-192.00,33.00
101.02,3241.00,151.00,185.00,5.00,16.10,27.80,2211.00,2306.00,82.00,125.00,138.00,118.00,133.00,111.00,445.00,26477.00,62.60,91.00,28.00,17.00,38.00,-23.00,198.00
20.66,886.00,145.00,170.00,2.50,13.90,30.30,866.00,925.00,102.00,203.00,138.00,118.00,133.00,111.00,445.00,5839.00,66.20,74.00,28.00,17.00,38.00,30.00,168.00
46.38,2005.00,145.00,170.00,2.50,16.20,28.30,951.00,948.00,86.00,137.00,138.00,118.00,133.00,111.00,445.00,12228.00,62.60,73.00,28.00,17.00,38.00,-21.00,121.00
41.04,1629.00,145.00,170.00,2.50,15.60,23.80,597.00,646.00,94.00,167.00,138.00,118.00,133.00,111.00,445.00,12727.00,42.80,75.00,28.00,17.00,38.00,5.00,229.00
15.88,667.00,148.00,176.00,3.00,15.80,24.80,397.00,417.00,77.00,111.00,138.00,118.00,133.00,111.00,445.00,3689.00,62.60,74.00,28.00,17.00,38.00,15.00,93.00
38.27,1199.00,139.00,173.00,4.30,15.40,29.10,951.00,997.00,80.00,129.00,138.00,118.00,133.00,111.00,445.00,9357.00,60.80,64.00,28.00,17.00,38.00,-45.00,107.00
63.21,1988.00,141.00,179.00,5.00,15.30,26.90,1591.00,1624.00,81.00,137.00,138.00,118.00,133.00,111.00,445.00,15808.00,62.60,77.00,28.00,17.00,38.00,-31.00,150.00
20.72,874.00,145.00,170.00,2.50,14.10,27.20,794.00,771.00,70.00,104.00,138.00,118.00,133.00,111.00,445.00,4183.00,62.60,63.00,28.00,17.00,38.00,30.00,159.00
28.57,989.00,144.00,182.00,4.40,15.90,31.00,732.00,741.00,81.00,133.00,138.00,118.00,133.00,111.00,445.00,6778.00,55.40,63.00,28.00,17.00,38.00,-33.00,96.00
54.33,1829.00,144.00,180.00,5.00,15.00,26.20,1434.00,1430.00,80.00,113.00,138.00,118.00,133.00,111.00,445.00,13506.00,57.20,64.00,28.00,17.00,38.00,5.00,215.00
